table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,nl,Pepinster,,,Pepinster
stops,stop_name,de,Pepinster,,,Pepinster
stops,stop_name,en,Pepinster,,,Pepinster
stops,stop_name,fr,Verviers-Palais,,,Verviers-Palais
stops,stop_name,nl,Verviers-Paleis,,,Verviers-Palais
stops,stop_name,de,Verviers-Paleis / Verviers-Palais,,,Verviers-Palais
stops,stop_name,en,Verviers-Palais / Verviers-Paleis,,,Verviers-Palais
stops,stop_name,fr,Verviers-Central,,,Verviers-Central
stops,stop_name,nl,Verviers-Centraal,,,Verviers-Central
stops,stop_name,de,Verviers-Centraal / Verviers-Central,,,Verviers-Central
stops,stop_name,en,Verviers-Central / Verviers-Centraal,,,Verviers-Central
stops,stop_name,fr,Bressoux,,,Bressoux
stops,stop_name,nl,Bressoux,,,Bressoux
stops,stop_name,de,Bressoux,,,Bressoux
stops,stop_name,en,Bressoux,,,Bressoux
stops,stop_name,fr,Bas-Oha,,,Bas-Oha
stops,stop_name,nl,Bas-Oha,,,Bas-Oha
stops,stop_name,de,Bas-Oha,,,Bas-Oha
stops,stop_name,en,Bas-Oha,,,Bas-Oha
stops,stop_name,fr,Statte,,,Statte
stops,stop_name,nl,Statte,,,Statte
stops,stop_name,de,Statte,,,Statte
stops,stop_name,en,Statte,,,Statte
stops,stop_name,fr,Haute-Flône,,,Haute-Flône
stops,stop_name,nl,Haute-Flône,,,Haute-Flône
stops,stop_name,de,Haute-Flône,,,Haute-Flône
stops,stop_name,en,Haute-Flône,,,Haute-Flône
stops,stop_name,fr,Amay,,,Amay
stops,stop_name,nl,Amay,,,Amay
stops,stop_name,de,Amay,,,Amay
stops,stop_name,en,Amay,,,Amay
stops,stop_name,fr,Ampsin,,,Ampsin
stops,stop_name,nl,Ampsin,,,Ampsin
stops,stop_name,de,Ampsin,,,Ampsin
stops,stop_name,en,Ampsin,,,Ampsin
stops,stop_name,fr,Huy,,,Huy
stops,stop_name,nl,Hoei,,,Huy
stops,stop_name,de,Hoei / Huy,,,Huy
stops,stop_name,en,Huy / Hoei,,,Huy
stops,stop_name,fr,Engis,,,Engis
stops,stop_name,nl,Engis,,,Engis
stops,stop_name,de,Engis,,,Engis
stops,stop_name,en,Engis,,,Engis
stops,stop_name,fr,Leman,,,Leman
stops,stop_name,nl,Leman,,,Leman
stops,stop_name,de,Leman,,,Leman
stops,stop_name,en,Leman,,,Leman
stops,stop_name,fr,Flémalle-Haute,,,Flémalle-Haute
stops,stop_name,nl,Flémalle-Haute,,,Flémalle-Haute
stops,stop_name,de,Flémalle-Haute,,,Flémalle-Haute
stops,stop_name,en,Flémalle-Haute,,,Flémalle-Haute
stops,stop_name,fr,Flémalle-Grande,,,Flémalle-Grande
stops,stop_name,nl,Flémalle-Grande,,,Flémalle-Grande
stops,stop_name,de,Flémalle-Grande,,,Flémalle-Grande
stops,stop_name,en,Flémalle-Grande,,,Flémalle-Grande
stops,stop_name,fr,Jemeppe-sur-Meuse,,,Jemeppe-sur-Meuse
stops,stop_name,nl,Jemeppe-sur-Meuse,,,Jemeppe-sur-Meuse
stops,stop_name,de,Jemeppe-sur-Meuse,,,Jemeppe-sur-Meuse
stops,stop_name,en,Jemeppe-sur-Meuse,,,Jemeppe-sur-Meuse
stops,stop_name,fr,Pont-de-Seraing,,,Pont-de-Seraing
stops,stop_name,nl,Pont-de-Seraing,,,Pont-de-Seraing
stops,stop_name,de,Pont-de-Seraing,,,Pont-de-Seraing
stops,stop_name,en,Pont-de-Seraing,,,Pont-de-Seraing
stops,stop_name,fr,Sclessin,,,Sclessin
stops,stop_name,nl,Sclessin,,,Sclessin
stops,stop_name,de,Sclessin,,,Sclessin
stops,stop_name,en,Sclessin,,,Sclessin
stops,stop_name,fr,Sy,,,Sy
stops,stop_name,nl,Sy,,,Sy
stops,stop_name,de,Sy,,,Sy
stops,stop_name,en,Sy,,,Sy
stops,stop_name,fr,Hamoir,,,Hamoir
stops,stop_name,nl,Hamoir,,,Hamoir
stops,stop_name,de,Hamoir,,,Hamoir
stops,stop_name,en,Hamoir,,,Hamoir
stops,stop_name,fr,Comblain-la-Tour,,,Comblain-la-Tour
stops,stop_name,nl,Comblain-la-Tour,,,Comblain-la-Tour
stops,stop_name,de,Comblain-la-Tour,,,Comblain-la-Tour
stops,stop_name,en,Comblain-la-Tour,,,Comblain-la-Tour
stops,stop_name,fr,Aywaille,,,Aywaille
stops,stop_name,nl,Aywaille,,,Aywaille
stops,stop_name,de,Aywaille,,,Aywaille
stops,stop_name,en,Aywaille,,,Aywaille
stops,stop_name,fr,Rivage,,,Rivage
stops,stop_name,nl,Rivage,,,Rivage
stops,stop_name,de,Rivage,,,Rivage
stops,stop_name,en,Rivage,,,Rivage
stops,stop_name,fr,Poulseur,,,Poulseur
stops,stop_name,nl,Poulseur,,,Poulseur
stops,stop_name,de,Poulseur,,,Poulseur
stops,stop_name,en,Poulseur,,,Poulseur
stops,stop_name,fr,Esneux,,,Esneux
stops,stop_name,nl,Esneux,,,Esneux
stops,stop_name,de,Esneux,,,Esneux
stops,stop_name,en,Esneux,,,Esneux
stops,stop_name,fr,Hony,,,Hony
stops,stop_name,nl,Hony,,,Hony
stops,stop_name,de,Hony,,,Hony
stops,stop_name,en,Hony,,,Hony
stops,stop_name,fr,Méry,,,Méry
stops,stop_name,nl,Méry,,,Méry
stops,stop_name,de,Méry,,,Méry
stops,stop_name,en,Méry,,,Méry
stops,stop_name,fr,Tilff,,,Tilff
stops,stop_name,nl,Tilff,,,Tilff
stops,stop_name,de,Tilff,,,Tilff
stops,stop_name,en,Tilff,,,Tilff
stops,stop_name,fr,Chênée,,,Chênée
stops,stop_name,nl,Chênée,,,Chênée
stops,stop_name,de,Chênée,,,Chênée
stops,stop_name,en,Chênée,,,Chênée
stops,stop_name,fr,Angleur,,,Angleur
stops,stop_name,nl,Angleur,,,Angleur
stops,stop_name,de,Angleur,,,Angleur
stops,stop_name,en,Angleur,,,Angleur
stops,stop_name,fr,Glons,,,Glons
stops,stop_name,nl,Glaaien,,,Glons
stops,stop_name,de,Glaaien / Glons,,,Glons
stops,stop_name,en,Glons / Glaaien,,,Glons
stops,stop_name,fr,Liers,,,Liers
stops,stop_name,nl,Liers,,,Liers
stops,stop_name,de,Liers,,,Liers
stops,stop_name,en,Liers,,,Liers
stops,stop_name,fr,Milmort,,,Milmort
stops,stop_name,nl,Milmort,,,Milmort
stops,stop_name,de,Milmort,,,Milmort
stops,stop_name,en,Milmort,,,Milmort
stops,stop_name,fr,Herstal,,,Herstal
stops,stop_name,nl,Herstal,,,Herstal
stops,stop_name,de,Herstal,,,Herstal
stops,stop_name,en,Herstal,,,Herstal
stops,stop_name,fr,Liège-Carré,,,Liège-Carré
stops,stop_name,nl,Luik-Carré,,,Liège-Carré
stops,stop_name,de,Luik-Carré / Liège-Carré,,,Liège-Carré
stops,stop_name,en,Liège-Carré / Luik-Carré,,,Liège-Carré
stops,stop_name,fr,Liège-Saint-Lambert,,,Liège-Saint-Lambert
stops,stop_name,nl,Luik-Sint-Lambertus,,,Liège-Saint-Lambert
stops,stop_name,de,Luik-Sint-Lambertus / Liège-Saint-Lambert,,,Liège-Saint-Lambert
stops,stop_name,en,Liège-Saint-Lambert / Luik-Sint-Lambertus,,,Liège-Saint-Lambert
stops,stop_name,fr,Fexhe-le-Haut-Clocher,,,Fexhe-le-Haut-Clocher
stops,stop_name,nl,Fexhe-le-Haut-Clocher,,,Fexhe-le-Haut-Clocher
stops,stop_name,de,Fexhe-le-Haut-Clocher,,,Fexhe-le-Haut-Clocher
stops,stop_name,en,Fexhe-le-Haut-Clocher,,,Fexhe-le-Haut-Clocher
stops,stop_name,fr,Momalle,,,Momalle
stops,stop_name,nl,Momalle,,,Momalle
stops,stop_name,de,Momalle,,,Momalle
stops,stop_name,en,Momalle,,,Momalle
stops,stop_name,fr,Remicourt,,,Remicourt
stops,stop_name,nl,Remicourt,,,Remicourt
stops,stop_name,de,Remicourt,,,Remicourt
stops,stop_name,en,Remicourt,,,Remicourt
stops,stop_name,fr,Bléret,,,Bléret
stops,stop_name,nl,Bléret,,,Bléret
stops,stop_name,de,Bléret,,,Bléret
stops,stop_name,en,Bléret,,,Bléret
stops,stop_name,fr,Waremme,,,Waremme
stops,stop_name,nl,Borgworm,,,Waremme
stops,stop_name,de,Borgworm / Waremme,,,Waremme
stops,stop_name,en,Waremme / Borgworm,,,Waremme
stops,stop_name,fr,Voroux,,,Voroux
stops,stop_name,nl,Voroux,,,Voroux
stops,stop_name,de,Voroux,,,Voroux
stops,stop_name,en,Voroux,,,Voroux
stops,stop_name,fr,Bierset-Awans,,,Bierset-Awans
stops,stop_name,nl,Bierset-Awans,,,Bierset-Awans
stops,stop_name,de,Bierset-Awans,,,Bierset-Awans
stops,stop_name,en,Bierset-Awans,,,Bierset-Awans
stops,stop_name,fr,Ans,,,Ans
stops,stop_name,nl,Ans,,,Ans
stops,stop_name,de,Ans,,,Ans
stops,stop_name,en,Ans,,,Ans
stops,stop_name,fr,Liège-Guillemins,,,Liège-Guillemins
stops,stop_name,nl,Luik-Guillemins,,,Liège-Guillemins
stops,stop_name,de,Luik-Guillemins / Liège-Guillemins,,,Liège-Guillemins
stops,stop_name,en,Liège-Guillemins / Luik-Guillemins,,,Liège-Guillemins
stops,stop_name,fr,Neerwinden,,,Neerwinden
stops,stop_name,nl,Neerwinden,,,Neerwinden
stops,stop_name,de,Neerwinden,,,Neerwinden
stops,stop_name,en,Neerwinden,,,Neerwinden
stops,stop_name,fr,Landen,,,Landen
stops,stop_name,nl,Landen,,,Landen
stops,stop_name,de,Landen,,,Landen
stops,stop_name,en,Landen,,,Landen
stops,stop_name,fr,Ezemaal,,,Ezemaal
stops,stop_name,nl,Ezemaal,,,Ezemaal
stops,stop_name,de,Ezemaal,,,Ezemaal
